Altium Designer Pick and Place Locations
C:\Users\Shadow\Desktop\Repos\ltk-hall-electronics\boards\main\Project Outputs for Combined\AssemblyData\Pick and Place\Pick Place for ltk-hall-main.txt

========================================================================================================================
File Design Information:

Date:       30/10/23
Time:       16:35
Revision:   9a3e12c10b810e242c752c6b59ebb58eb28667f6
Variant:    No variations
Units used: mil

Center-X(mil) Center-Y(mil) Comment              Description                                                                         Designator Footprint                            Layer    Rotation 
3820.000      600.000       0                    "RES SMD 0 OHM 5% 1/10W 0603"                                                       R20        RES_0603_1608                        TopLayer 90       
3760.000      600.000       0                    "RES SMD 0 OHM 5% 1/10W 0603"                                                       R19        RES_0603_1608                        TopLayer 90       
3700.000      600.000       0                    "RES SMD 0 OHM 5% 1/10W 0603"                                                       R18        RES_0603_1608                        TopLayer 90       
3640.000      600.000       0                    "RES SMD 0 OHM 5% 1/10W 0603"                                                       R17        RES_0603_1608                        TopLayer 90       
1058.662      3326.614      LTC6915CGN#PBF       "IC PGA G0-4094 SPI-PARALLEL 5V RRIO SSOP-16"                                       U39        517EE8A2-9FD8-4174-996D-BDBF76CA3EEB TopLayer 0        
270.000       831.260       AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U38        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 360      
230.000       3680.000      AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U37        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 270      
348.662       3326.614      LTC6915CGN#PBF       "IC PGA G0-4094 SPI-PARALLEL 5V RRIO SSOP-16"                                       U36        517EE8A2-9FD8-4174-996D-BDBF76CA3EEB TopLayer 0        
480.000       3680.000      AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U35        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 270      
932.756       828.662       AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U34        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 0        
1058.662      2926.614      LTC6915CGN#PBF       "IC PGA G0-4094 SPI-PARALLEL 5V RRIO SSOP-16"                                       U33        517EE8A2-9FD8-4174-996D-BDBF76CA3EEB TopLayer 0        
740.000       3680.000      AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U32        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 270      
1260.000      831.260       AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U31        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 360      
718.662       3326.614      LTC6915CGN#PBF       "IC PGA G0-4094 SPI-PARALLEL 5V RRIO SSOP-16"                                       U30        517EE8A2-9FD8-4174-996D-BDBF76CA3EEB TopLayer 0        
990.000       3680.000      AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U29        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 270      
1590.000      831.260       AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U28        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 0        
2500.000      3200.000      AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U27        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 180      
2690.000      2570.000      NE555DR              "IC SMD TIMER NE555 SOIC-8"                                                         U26        TI_SOIC-8_D                          TopLayer 0        
3700.000      2390.000      NC7SZ58P6X           "IC LOGIC PORT CONFIGURABLE AND, OR, NAND, NOR, XOR, BUFFER, NOT 8ns  74XX58 SC-70" U25        CF792C6F-51F3-4C59-9918-AD84EFC14FA6 TopLayer 0        
3510.000      2390.000      NC7SZ58P6X           "IC LOGIC PORT CONFIGURABLE AND, OR, NAND, NOR, XOR, BUFFER, NOT 8ns  74XX58 SC-70" U24        CF792C6F-51F3-4C59-9918-AD84EFC14FA6 TopLayer 0        
3540.000      2610.000      2N7002K              "MOSFET N-CHANNEL LOGIC LEVEL 300mA 3ohm 60V ESD-PROT 2N7002K SOT-23"               U23        ON_SEMI_SOT-23-3                     TopLayer 180      
3320.000      2610.000      2N7002K              "MOSFET N-CHANNEL LOGIC LEVEL 300mA 3ohm 60V ESD-PROT 2N7002K SOT-23"               U22        ON_SEMI_SOT-23-3                     TopLayer 180      
2510.000      3560.000      AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U21        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 0        
2150.001      3490.000      AD8495ARMZ-R7        "IC THERMOCOUPLE AMPLIFIER MSOP-8"                                                  U20        ANALOG_MSOP-8_RM-8                   TopLayer 360      
2510.000      3740.000      AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U19        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 0        
1720.000      2990.000      AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U18        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 0        
1720.000      3170.000      AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U17        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 0        
1420.000      3400.000      2N7002K              "MOSFET N-CHANNEL LOGIC LEVEL 300mA 3ohm 60V ESD-PROT 2N7002K SOT-23"               U16        ON_SEMI_SOT-23-3                     TopLayer 180      
1720.000      3400.000      NC7SZ58P6X           "IC LOGIC PORT CONFIGURABLE AND, OR, NAND, NOR, XOR, BUFFER, NOT 8ns  74XX58 SC-70" U15        CF792C6F-51F3-4C59-9918-AD84EFC14FA6 TopLayer 180      
1720.000      3550.000      AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U14        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 0        
2430.000      1180.000      AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U13        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 0        
2150.000      3220.000      LTC6915CGN#PBF       "IC PGA G0-4094 SPI-PARALLEL 5V RRIO SSOP-16"                                       U12        517EE8A2-9FD8-4174-996D-BDBF76CA3EEB TopLayer 0        
1720.000      3740.000      AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U11        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 0        
600.000       831.260       AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U10        A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 360      
1220.472      1377.952      A6R-162RS            "SWITCH ROTARY HEX/BCD 16 POSITIONS"                                                U9         2599C238-5645-4A8C-8BF9-C7515FACCFA0 TopLayer 270      
393.700       1377.952      A6R-162RS            "SWITCH ROTARY HEX/BCD 16 POSITIONS"                                                U8         2599C238-5645-4A8C-8BF9-C7515FACCFA0 TopLayer 270      
1220.472      2204.724      A6R-162RS            "SWITCH ROTARY HEX/BCD 16 POSITIONS"                                                U7         2599C238-5645-4A8C-8BF9-C7515FACCFA0 TopLayer 270      
393.700       2204.724      A6R-162RS            "SWITCH ROTARY HEX/BCD 16 POSITIONS"                                                U6         2599C238-5645-4A8C-8BF9-C7515FACCFA0 TopLayer 270      
2047.244      2204.724      A6R-162RS            "SWITCH ROTARY HEX/BCD 16 POSITIONS"                                                U5         2599C238-5645-4A8C-8BF9-C7515FACCFA0 TopLayer 270      
2516.535      2809.055      AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U4         A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 0        
2340.000      2840.000      REF3025AIDBZR        "IC VOLTAGE REF SERIES 2.5V 75ppm 0.2% SOT-23"                                      U3         TI_SOT-23-3_DBZ                      TopLayer 90       
2516.536      2974.331      AD8605ARTZ           "IC OPAMP 65uV 1pA RRIO 5V 80mA SOT-23-5"                                           U2         A3DDA0BC-073E-4B18-9613-F713A7EC1E27 TopLayer 0        
3125.433      1176.693      L78M05ABDT-TR        "IC SMD LINEAR VOLTAGE REGULATOR 5V 500mA DPAK/TO-252"                              U1         4BDA507D-BB70-4009-B963-85AD90086B51 TopLayer 180      
2158.662      2496.614      10K                  "RES SMD 10K OHM 1% 1/10W 0603"                                                     R90        RES_0603_1608                        TopLayer 90       
1978.662      2496.614      10K                  "RES SMD 10K OHM 1% 1/10W 0603"                                                     R89        RES_0603_1608                        TopLayer 90       
2068.662      2496.614      10K                  "RES SMD 10K OHM 1% 1/10W 0603"                                                     R88        RES_0603_1608                        TopLayer 90       
1888.662      2496.614      10K                  "RES SMD 10K OHM 1% 1/10W 0603"                                                     R87        RES_0603_1608                        TopLayer 90       
140.000       831.260       100                  "RES SMD 100 OHM 1% 1/10W 0603"                                                     R86        RES_0603_1608                        TopLayer 90       
